conversation_id,customer_message,support_response,raw_customer_message,n_customer_turns,n_support_turns
cea6e2de5702ce6ab758338869b89279,I think <user> doesn't care about us because it started with ADs in the MIDDLE of a song #FAIL,Hey Andrés! That doesn't sound good. Can you DM us your account's email address? We'll take a look under the hood /QI <url>,I think doesn't care about us because it started with ADs in the MIDDLE of a song #FAIL,2,1
8a5a047bda09fe6e40ed02931ff05163,i'm a high school student 👀that qualify? <url>,2: We have some info on this at <url> 1: You need to be currently enrolled in an accredited college or university to be eligible for the student discount.,i'm a high school student 👀that qualify?,1,2
80deb0f02d743ed4f26bea6d66eea638,"Listen, does <user> randomly decide to cut your music off on random songs like <user> does cuz this keeps happening to good songs and I can never listen to the end.","Hey there! The cavalry's here. Could you tell us your device's make/model, operating system, and Spotify version? Licensing agreements can affect music availability. There's more info about content here: <url> Sorry for the confusion! Just to check, are you referring to playback issues e.g. tracks getting cut off midstream? 2: You can even sign up for a 30-day free trial here: <url> 🙂 1: Got it! How about giving us a shot? 🙂 For more info about the app, just head here: <url> You're welcome! We're looking forward to having you on board. Give us a shout if you need help with anything else","Listen, does randomly decide to cut your music off on random songs like does cuz this keeps happening to good songs and I can never listen to the end.",5,6
259466cb6d36d80af22986c7f2772570,how can I get a free subscription of Spotify premium? I need to download some of my friends playlist <user> <user>,Hey Robbie! You can check out our 30-day Premium trial at <url> if you haven't had a subscription before 🙂,how can I get a free subscription of Spotify premium? I need to download some of my friends playlist,1,1
8e872311a4fb88cc224ea69da0f8f8fe,<user> Bug report 🐞 The classic: Come and get your love by RedBone has been swapped with Gloria Gaynor I will survive? Plz <url>,"1: Hi Mike! Help's here. We can confirm that the track is currently unavailable on Spotify. Sometimes content gets temporarily removed... 2: due to licensing changes. Having said that, it's odd that you're still hearing audio. Can you check if it's the same while streaming?",Bug report 🐞 The classic: Come and get your love by RedBone has been swapped with Gloria Gaynor I will survive? Plz,2,2
9fbed85bd610c852e8b4071edc6ba0ab,If u guys really care then why don't you have another way for me to reach u than Twitter? #ineedassistance,"Hey! We can help out here at Twitter, but we also have Email support at <url>",If u guys really care then why don't you have another way for me to reach u than Twitter? #ineedassistance,1,1
125d2b1e84c6b95ac23249de9a0907e5,"Hey <user> , you linked my Spotify account to the wrong ""Spotify for Artists"" profile. Please advise ASAP.",Hey! This is best handled by our Artist Services team. You can get in touch with them here: <url>,"Hey , you linked my Spotify account to the wrong ""Spotify for Artists"" profile. Please advise ASAP.",1,1
0748bd11bb7c3989ea0f514c44db0c27,thanks for your support & data system guys - you make everything way easier 👍😎,"Hey Daniel! Awesome, that's what we like to hear. We'll be here if you need anything else 😁",thanks for your support & data system guys - you make everything way easier 👍😎,1,1
2a40e6b307974bb8d8d0c0adb6cad0a3,i have some trouble issued. i already paid for the premium but why my acc still on FREE ACC.,Hi! We've just replied to your DM. Let's continue chatting there,i have some trouble issued. i already paid for the premium but why my acc still on FREE ACC.,1,1
0ec1b46f52042a5640d972428def26a3,have BTOB's new album up soon please!,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <url>",have BTOB's new album up soon please!,1,1
90fe30b3d8e5774b37517c179a365e90,could you make me a playlist just because?,Hey there! Do you have any specific artists or genres in mind? We'll see what we can whip up 🙂 Sure! Can you DM us your account's username or email address? We'll take a look backstage /AP <url>,could you make me a playlist just because?,2,2
391ff8509e98ebabdc09950235c3223f,the new search function is worthless while in offline mode. How can I modify it to search for my songs by keyword? <url>,"Hey Paul, we hear you! Rest assured, your feedback will be passed on to the right folks",the new search function is worthless while in offline mode. How can I modify it to search for my songs by keyword?,1,1
a50802b3e0c6425cef9d6a24bcb65c73,Hi! How long do offline songs last? Going to Ethiopia for 2 weeks and want to know if I should be filling my phone up with music manually ;),"Hi Simon! The good news is as long as you've got a playlist downloaded for offline listening, you're good for the whole 2 weeks",Hi! How long do offline songs last? Going to Ethiopia for 2 weeks and want to know if I should be filling my phone up with music manually ;),1,1
24720a63f84548a38686fb6ce8640a6b,help! All of my saved songs are gone :( Can they be recovered?,Hey Emily! Help's here. Can you DM us your account's username and email address? We'll take a look backstage /JL <url>,help! All of my saved songs are gone :( Can they be recovered?,1,1
c95ad4fbac53880149b2e29ac88152f3,what is the majid jordan presale code?,Hey Kasey! Pre-sale codes are being sent out by email to some of Majid Jordan's biggest fans on Spotify. Hopefully you're one of them 😁,what is the majid jordan presale code?,4,1
